source,target,type,description
D_ACUTE_HOSPITAL,D_ELECTIVE_CARE,contains,Acute hospital includes elective care.
D_ACUTE_HOSPITAL,D_EMERGENCY_CARE,contains,Acute hospital includes urgent and emergency care.
D_ACUTE_HOSPITAL,D_INPATIENTS,contains,Acute hospital includes admitted inpatient care.
D_ACUTE_HOSPITAL,D_DIAGNOSTICS,contains,Acute hospital includes diagnostic services.
D_ACUTE_HOSPITAL,D_CANCER,contains,Acute hospital includes cancer pathways.
D_ACUTE_HOSPITAL,D_OUTPATIENTS,contains,Acute hospital includes outpatient services.
D_ACUTE_HOSPITAL,D_THEATRES,contains,Acute hospital includes theatres.
D_ACUTE_HOSPITAL,D_WORKFORCE,contains,Workforce underpins acute hospital delivery.
D_ACUTE_HOSPITAL,D_FINANCE,contains,Finance underpins acute hospital planning and control.
D_ACUTE_HOSPITAL,D_QUALITY_SAFETY,contains,Quality and safety spans acute hospital services.
D_EMERGENCY_CARE,D_SDEC,contains,SDEC is a major UEC component.
D_ELECTIVE_CARE,D_DAYCASES,contains,Daycase activity is part of elective admitted care.
D_ELECTIVE_CARE,D_RTT,contains,RTT is the core elective pathway framework.
D_CANCER,D_CANCER_PT,contains,Cancer PTL is the operational tracking pathway for cancer.
D_EMERGENCY_CARE,D_UEC_FLOW,contains,UEC flow covers ED and acute admission pathways.
D_PATIENT_FLOW,D_EMERGENCY_CARE,overlaps_with,Emergency arrivals create admitted and non-admitted flow demand.
D_PATIENT_FLOW,D_INPATIENTS,overlaps_with,Inpatient capacity and discharge drive whole-hospital flow.
D_PATIENT_FLOW,D_SDEC,overlaps_with,SDEC can reduce avoidable admissions and improve flow.
D_ELECTIVE_CARE,D_DIAGNOSTICS,depends_on,Elective pathways often depend on diagnostic capacity and turnaround.
D_CANCER,D_DIAGNOSTICS,depends_on,Cancer diagnosis and staging depend heavily on diagnostics.
D_ELECTIVE_CARE,D_THEATRES,depends_on,Admitted elective treatment depends on theatre capacity.
D_DAYCASES,D_THEATRES,depends_on,Daycase procedures often require theatre capacity.
D_EMERGENCY_CARE,D_INPATIENTS,depends_on,ED performance depends on available inpatient beds and timely admission/discharge.
P_EXEC_PERFORMANCE,D_ACUTE_HOSPITAL,supports,Executive dashboard supports whole-trust oversight.
P_EXEC_PERFORMANCE,R_EXEC,supports,Executive dashboard supports board and executive users.
P_ELECTIVE_PT,D_ELECTIVE_CARE,supports,Elective PTL dashboard supports elective recovery.
P_ELECTIVE_PT,D_RTT,supports,Elective PTL dashboard supports RTT pathway management.
P_ELECTIVE_PT,DS_RTT,uses_dataset,Elective PTL uses RTT pathway data.
P_ELECTIVE_PT,M_RTT_18W,measures,Elective PTL measures RTT 18-week performance.
P_ELECTIVE_PT,M_LONG_WAITS,measures,Elective PTL measures long waits.
P_ELECTIVE_PT,ER_RTT,reports_to,Elective PTL aligns to national RTT standards.
P_UEC_DAILY,D_EMERGENCY_CARE,supports,UEC dashboard supports ED and urgent flow management.
P_UEC_DAILY,D_UEC_FLOW,supports,UEC dashboard supports whole urgent care flow.
P_UEC_DAILY,DS_ED_ATT,uses_dataset,UEC dashboard uses ED attendance data.
P_UEC_DAILY,DS_ADT,uses_dataset,UEC dashboard uses admission/discharge/transfer data.
P_UEC_DAILY,M_4HR,measures,UEC dashboard measures ED 4-hour performance.
P_UEC_DAILY,M_AMB_HANDOVER,measures,UEC dashboard measures ambulance handover delays.
P_UEC_DAILY,ER_UEC,reports_to,UEC dashboard aligns to UEC standards and returns.
P_SDEC_DASH,D_SDEC,supports,SDEC dashboard supports same-day emergency care.
P_SDEC_DASH,DS_ED_ATT,uses_dataset,SDEC may use ED attendance and referral data.
P_SDEC_DASH,DS_ADT,uses_dataset,SDEC uses admission/discharge events where applicable.
P_BED_OCC,D_INPATIENTS,supports,Bed dashboard supports inpatient capacity and discharge planning.
P_BED_OCC,D_PATIENT_FLOW,supports,Bed dashboard supports flow decisions.
