id,label,type,description
D_ACUTE_HOSPITAL,Acute Hospital,domain,"Whole acute provider operating model: flow, care delivery, performance, safety, finance and capacity."
D_ELECTIVE_CARE,Elective Care,domain,"Planned outpatient, diagnostic, pre-operative, admitted and non-admitted treatment pathways."
D_EMERGENCY_CARE,Emergency Care,domain,"Urgent and emergency care including ED attendances, ambulance arrivals, streaming, admissions and discharges."
D_SDEC,Same Day Emergency Care (SDEC),domain,Same-day assessment and treatment intended to avoid admission where clinically appropriate.
D_INPATIENTS,Inpatient Areas,domain,"Admitted ward-based care, bed occupancy, ward moves, discharge planning and length of stay."
D_DAYCASES,Daycases,domain,Planned admitted care where the patient is discharged on the same day.
D_CANCER,Cancer,domain,"Cancer referrals, diagnostics, treatment pathways, waiting time standards and outcomes."
D_DIAGNOSTICS,Diagnostics,domain,"Imaging, pathology, physiological measurement, endoscopy and other diagnostic services."
D_OUTPATIENTS,Outpatients,domain,"Referral, booking, attendance, follow-up, PIFU, DNA and clinic utilisation."
D_THEATRES,Theatres,domain,"Theatre scheduling, utilisation, cancellations, lists, anaesthetics and recovery."
D_CRITICAL_CARE,Critical Care,domain,"ICU/HDU capacity, occupancy, organ support, step-down and specialist critical care activity."
D_MATERNITY,Maternity,domain,"Antenatal, intrapartum, postnatal care, births, safety and outcomes."
D_PAEDIATRICS,Paediatrics,domain,"Children and young people's emergency, elective, inpatient and outpatient care."
D_PHARMACY,Pharmacy and Medicines,domain,"Medicines optimisation, dispensing, prescribing, stock, antimicrobials and high-cost drugs."
D_WORKFORCE,Workforce,domain,"Staffing, rostering, vacancies, sickness, bank/agency usage, productivity and skill mix."
D_FINANCE,Finance,domain,"Income, expenditure, cost improvement, service-line reporting and efficiency."
D_QUALITY_SAFETY,Quality and Safety,domain,"Incidents, harms, mortality, complaints, outcomes, clinical audit and patient experience."
D_PATIENT_FLOW,Patient Flow,pathway,"Cross-hospital flow from arrival/referral through admission, transfer, discharge and follow-up."
D_RTT,Referral to Treatment (RTT),pathway,18-week elective referral-to-treatment pathway and waiting list management.
D_CANCER_PT,Cancer Patient Tracking List,pathway,Cancer pathway tracking from referral through diagnosis and treatment.
D_UEC_FLOW,Urgent and Emergency Care Flow,pathway,Ambulance/ED/SDEC/admission/discharge flow and escalation.
P_EXEC_PERFORMANCE,Executive Performance Dashboard,analysis_product,"High-level trust performance view across access, quality, workforce, finance and productivity."
P_ELECTIVE_PT,Elective PTL Dashboard,analysis_product,"Waiting list, RTT, booking, validation, long wait and capacity view for elective care."
P_UEC_DAILY,UEC Daily Sitrep / Flow Dashboard,analysis_product,"Daily urgent care demand, ED performance, bed state, admissions, discharges and escalation."
P_SDEC_DASH,SDEC Performance Dashboard,analysis_product,"SDEC activity, conversion, turnaround, admission avoidance and specialty usage."
P_BED_OCC,Bed Occupancy and Flow Dashboard,analysis_product,"Bed occupancy, stranded patients, criteria-to-reside, length of stay and discharge profile."
P_THEATRE_UTIL,Theatre Utilisation Dashboard,analysis_product,"Session utilisation, late starts, early finishes, cancellations and productivity."
P_CANCER_WAITING,Cancer Waiting Times Dashboard,analysis_product,"Cancer standards, PTL, breaches, tumour site performance and diagnostic/treatment intervals."
P_DIAG_WAITING,Diagnostics Waiting Times Dashboard,analysis_product,"DM01-style waits, modality demand, capacity, utilisation and breaches."
P_OP_UTIL,Outpatient Utilisation Dashboard,analysis_product,"Clinic utilisation, DNA, cancellations, follow-up backlog, PIFU and advice/guidance."
P_WORKFORCE_PRODUCTIVITY,Workforce Productivity Dashboard,analysis_product,"Roster fill, sickness, vacancy, agency, bank and productivity indicators."
P_QUALITY_SAFETY,Quality and Safety Dashboard,analysis_product,"Incidents, harms, mortality, complaints, infection control and patient experience."
M_4HR,ED 4-hour standard,metric,Proportion of ED attendances admitted/transferred/discharged within four hours.
M_AMB_HANDOVER,Ambulance handover delay,metric,Time from ambulance arrival to patient handover.
M_RTT_18W,RTT within 18 weeks,metric,Proportion of incomplete RTT pathways waiting under 18 weeks.
M_LONG_WAITS,Elective long waits,metric,Patients waiting beyond threshold such as 52/65/78 weeks depending standard.
M_DM01_6W,Diagnostics within 6 weeks,metric,Proportion of diagnostic waits within six weeks.
M_CANCER_28D,Cancer faster diagnosis standard,metric,Patients told whether cancer is diagnosed or ruled out within 28 days.
M_CANCER_62D,Cancer 62-day treatment standard,metric,Urgent suspected cancer referral to first definitive treatment within 62 days.
